	shannon	simpson	observed_species	PD_whole_tree
100CHE6KO	7.65429356104	0.98780644	730.0	34.44822
101CHE6WT	6.91428642512	0.96677542	580.0	29.65316
104CHE6KO	7.36895973531	0.98358384	687.0	32.89036
106CHE6WT	7.95859321037	0.99236484	760.0	37.63801
107CHE6KO	7.28010307634	0.9857038	577.0	29.23392
108CHE6KO	7.61591304363	0.98801602	721.0	34.68377
10CMK6KO	7.69686890292	0.9880823	739.0	34.82444
110CHE6WT	7.23813343152	0.98542902	634.0	31.32423
111CHE6KO	7.35932670337	0.98664144	579.0	29.36475
112CHE6KO	6.97636024598	0.9811775	512.0	25.52483
113CHE6WT	7.95129546746	0.99136858	764.0	34.56087
114CHE6WT	7.37444516448	0.9869323	625.0	30.63338
116CHE6KO	7.13556270629	0.98523152	627.0	31.63473
11CMK6WT	7.42576376307	0.9856341	683.0	33.20472
12CMK6WT	7.73084971159	0.9896605	718.0	35.61235
14CMK6KO	7.78279674476	0.98969876	647.0	31.72648
16CMK6KO	7.82012872967	0.99026404	704.0	31.90203
17CMK6WT	7.61791492199	0.98664388	697.0	32.93354
18CMK6KO	7.75580454067	0.98939682	724.0	34.04812
19CMK6WT	7.01714847821	0.98142368	528.0	27.64844
1CMK6WT	7.05897740949	0.98213248	546.0	27.87862
20CMK6KO	7.65906438373	0.98862984	689.0	32.59952
21CMK6WT	7.48396886572	0.98508162	726.0	34.37775
22CMK6KO	7.33855784415	0.98550714	551.0	28.67112
23CMK6WT	6.94785602999	0.98191956	446.0	24.63807
24CMK6KO	7.57167811152	0.98600656	667.0	31.39176
25CMK6KO	7.34477667558	0.98616818	493.0	25.51078
26CMK6WT	7.50218931235	0.98749826	599.0	29.28823
27CMK6WT	7.92031100947	0.99061702	708.0	33.25212
28CMK6KO	7.19792472811	0.98456362	496.0	27.17339
29CMK6WT	7.50685687496	0.98891008	592.0	30.71356
2CMK6KO	6.86573120169	0.97702716	610.0	30.00624
30CMK6KO	7.20079646971	0.98669884	570.0	29.33487
32CMK6KO	7.25807310479	0.98725192	508.0	27.00883
33CMK6WT	7.03441092457	0.98285856	480.0	25.78014
34CMK6KO	7.69977761918	0.99009876	636.0	32.11906
35CMK6KO	7.46056050876	0.98896848	544.0	30.19681
36CMK6WT	7.22119603776	0.98331912	538.0	28.11914
37CMK6WT	7.80217197807	0.99013068	739.0	36.01829
3CMK6WT	7.17258725429	0.98486612	528.0	27.12213
40CMK6WT	7.3304490042	0.98683144	507.0	25.83879
41CMK8WT	7.35441138034	0.9839329	595.0	30.33678
42CMK8KO	7.32866767979	0.98467264	594.0	29.32086
43CMK8WT	7.22865954135	0.9857193	519.0	26.15608
44CMK8KO	7.21367013324	0.9850197	489.0	26.96116
45CMK8WT	7.28644318047	0.98695756	504.0	27.44698
46CMK8WT	7.5207362917	0.98567736	651.0	31.7137
48CMK8KO	7.75892512535	0.98854542	742.0	34.52267
49CMK8KO	7.73630047934	0.9883105	756.0	35.77186
4CMK6KO	7.15124542828	0.9821199	583.0	29.58833
50CMK8KO	6.74709303091	0.97868026	424.0	22.48581
51CMK8WT	7.6867236257	0.98887178	747.0	34.60969
52CMK8WT	7.49988898963	0.9873189	651.0	32.92488
53CMK8HET	7.34288130851	0.98643628	534.0	27.2701
54CMK8KO	7.44706042335	0.98828434	602.0	29.75231
55CMK8HET	7.34445976931	0.98752664	515.0	25.94536
56CMK8KO	7.62266758294	0.98959816	610.0	30.10447
58CMK8KO	7.55106219787	0.98795168	616.0	29.10274
59CMK8WT	7.19042549721	0.98424334	620.0	30.59534
5CMK6WT	7.28854052489	0.98744014	462.0	24.93039
60CMK8KO	7.50532577997	0.98693896	646.0	31.47266
61CMK8WT	7.6352254749	0.98839104	710.0	33.06989
62CMK8KO	7.74883949797	0.98842238	780.0	35.40377
64CMK8KO	7.96250492076	0.99099492	758.0	35.71212
65CMK8KO	7.56096245107	0.98940118	575.0	28.31587
66CMK8WT	7.70013367469	0.990547	610.0	30.93978
67CMK8WT	7.73184118726	0.99006916	654.0	31.58496
