	100CHE6KO	101CHE6WT	104CHE6KO	106CHE6WT	107CHE6KO	108CHE6KO	10CMK6KO	110CHE6WT	111CHE6KO	112CHE6KO	113CHE6WT	114CHE6WT	116CHE6KO	11CMK6WT	12CMK6WT	14CMK6KO	16CMK6KO	17CMK6WT	18CMK6KO	19CMK6WT	1CMK6WT	20CMK6KO	21CMK6WT	22CMK6KO	23CMK6WT	24CMK6KO	25CMK6KO	26CMK6WT	27CMK6WT	28CMK6KO	29CMK6WT	2CMK6KO	30CMK6KO	32CMK6KO	33CMK6WT	34CMK6KO	35CMK6KO	36CMK6WT	37CMK6WT	3CMK6WT	40CMK6WT	41CMK8WT	42CMK8KO	43CMK8WT	44CMK8KO	45CMK8WT	46CMK8WT	48CMK8KO	49CMK8KO	4CMK6KO	50CMK8KO	51CMK8WT	52CMK8WT	53CMK8HET	54CMK8KO	55CMK8HET	56CMK8KO	58CMK8KO	59CMK8WT	5CMK6WT	60CMK8KO	61CMK8WT	62CMK8KO	64CMK8KO	65CMK8KO	66CMK8WT	67CMK8WT	68CMK8KO	69CMK8WT	6CMK6WT	70CMK8KO	71CMK8WT	72CMK8KO	73CMK8WT	74CMK8KO	76CMK8WT	78CMK8KO	79CMK8KO	7CMK6KO	80CMK8WT	81CHE6WT	82CHE6WT	83CHE6KO	84CHE6KO	85CHE6WT	86CHE6WT	87CHE6KO	88CHE6KO	89CHE6WT	8CMK6KO	90CHE6WT	91CHE6KO	92CHE6KO	93CHE6WT	96CHE6KO	97CHE6WT	98CHE6WT	99CHE6KO	9CMK6KO
100CHE6KO	0.0	0.178762833	0.065116789	0.120712848	0.165231606	0.088187179	0.109870629	0.092675914	0.156448864	0.193888352	0.144473122	0.102545161	0.201164999	0.132260317	0.128891838	0.142042644	0.117251589	0.218012563	0.108592647	0.215124712	0.223580797	0.132166936	0.120925663	0.199576912	0.23049343	0.148405556	0.220601743	0.163164113	0.157351987	0.210816909	0.22324539	0.179936638	0.150132648	0.229963788	0.238383306	0.134555803	0.200633953	0.213854926	0.140143146	0.254977345	0.231325218	0.209279162	0.199790712	0.22062904	0.224048886	0.225063024	0.151309246	0.117164396	0.140314262	0.163671743	0.268280097	0.13808036	0.174147536	0.189526413	0.192702719	0.169827545	0.1734731	0.189099033	0.191564898	0.237505576	0.138688752	0.157882394	0.148952286	0.118052741	0.219130551	0.197850905	0.18794421	0.157142996	0.212258738	0.157727911	0.1333068	0.181701804	0.199138181	0.134039683	0.223304865	0.151327788	0.192089605	0.160445366	0.16573277	0.22407221	0.124987061	0.160503206	0.104841287	0.173579666	0.180698339	0.169423029	0.152755652	0.074501273	0.209790586	0.140779725	0.168834886	0.143650596	0.193932257	0.113641182	0.105225514	0.127298419	0.165689374	0.07156207	0.114480328
101CHE6WT	0.178762833	0.0	0.182841436	0.202561147	0.120532535	0.160370674	0.202432042	0.223631047	0.126156139	0.134739145	0.256551289	0.224312422	0.327591414	0.193606868	0.219753743	0.176457287	0.214957308	0.333201652	0.176395842	0.169372477	0.152845902	0.154457893	0.19772625	0.175396977	0.174783835	0.187078131	0.137269756	0.175284048	0.242897668	0.139611208	0.135961885	0.180616573	0.256193285	0.140405399	0.163505803	0.215118354	0.15073318	0.155054705	0.164983075	0.171256184	0.199280535	0.137831923	0.138728525	0.138296591	0.140358445	0.143578311	0.173630437	0.192810881	0.257332529	0.164292752	0.188440412	0.202858089	0.139841447	0.144632928	0.132020512	0.19717473	0.256221631	0.13956124	0.225436627	0.150843039	0.166509423	0.277774765	0.259784771	0.21758125	0.154570182	0.168523594	0.145747317	0.267167599	0.135112901	0.27361595	0.172255963	0.151833673	0.14728765	0.25001159	0.138892078	0.173826847	0.144010914	0.223195339	0.275483685	0.162896145	0.11565347	0.098400709	0.179200562	0.115386841	0.149568806	0.127579898	0.159392525	0.17444006	0.173914825	0.154990622	0.115066937	0.160908121	0.156604856	0.224235521	0.239031875	0.103441238	0.121570259	0.139003181	0.197118253
104CHE6KO	0.065116789	0.182841436	0.0	0.101477779	0.179636207	0.088098476	0.114947494	0.091134299	0.168884069	0.202976561	0.133109163	0.083956736	0.198917384	0.133185422	0.123512207	0.143961281	0.102352226	0.208074206	0.120783504	0.222169437	0.233171416	0.144673237	0.134132566	0.203520391	0.235505889	0.157414319	0.221987106	0.169490502	0.148678138	0.21488053	0.228758117	0.191226879	0.138404593	0.234229301	0.248945147	0.122443338	0.202380814	0.218664929	0.155367557	0.262906168	0.241574875	0.212867319	0.202022459	0.222984509	0.222892349	0.227322585	0.168328571	0.126362559	0.129604307	0.174606528	0.276267008	0.146495715	0.180677149	0.192019116	0.197706918	0.173938038	0.162388923	0.194096732	0.196820023	0.238136849	0.149481139	0.157688113	0.134468463	0.10691563	0.218390846	0.20150315	0.193430051	0.145196677	0.213299071	0.148998482	0.142404843	0.183933549	0.204775582	0.13041113	0.226684634	0.160408049	0.199478414	0.153169579	0.148105489	0.232595739	0.128251262	0.158322823	0.113119572	0.172277337	0.192933686	0.177708018	0.158416067	0.08396647	0.221935029	0.151841236	0.178251713	0.156354365	0.20171773	0.113348267	0.120898461	0.13425894	0.171487579	0.094729035	0.130346693
106CHE6WT	0.120712848	0.202561147	0.101477779	0.0	0.225683838	0.125074055	0.151356075	0.121020132	0.202601814	0.253282454	0.13004477	0.102191355	0.206895799	0.162521565	0.140495006	0.165383008	0.139409105	0.219168095	0.160495405	0.26077987	0.275305729	0.181252208	0.176427211	0.23801279	0.270202454	0.190220858	0.258040929	0.200322535	0.149540647	0.249726469	0.247928132	0.237865524	0.14579751	0.24382581	0.291225188	0.125496555	0.215554769	0.251196972	0.172827474	0.306513887	0.243085694	0.258423748	0.234128478	0.25666161	0.254909982	0.254467588	0.205147902	0.154834416	0.13733304	0.224730747	0.322416383	0.162301376	0.216506208	0.229830497	0.223492875	0.206906835	0.16255386	0.222144817	0.232868164	0.265341964	0.190255428	0.169010256	0.139300476	0.120628571	0.246217263	0.217340343	0.214056484	0.147902672	0.240252696	0.159612507	0.178077002	0.213522972	0.230071639	0.132467407	0.254301455	0.191350858	0.208438103	0.15386328	0.149297164	0.235829026	0.183900671	0.206274092	0.147805053	0.212821512	0.231266523	0.221371475	0.198700066	0.139069407	0.253108272	0.181279263	0.219345334	0.185604306	0.242699979	0.109769336	0.115759812	0.183741679	0.213804642	0.14949242	0.158770332
107CHE6KO	0.165231606	0.120532535	0.179636207	0.225683838	0.0	0.142638763	0.178582759	0.193181514	0.094405822	0.097549508	0.261888728	0.199170539	0.308375049	0.189083809	0.214931578	0.197354364	0.207940111	0.305674359	0.167813371	0.11655463	0.101234515	0.143895736	0.166774855	0.142624852	0.128713322	0.158739672	0.133533707	0.163093697	0.258572857	0.106210329	0.127753984	0.134260052	0.246310422	0.164029844	0.119873154	0.229594345	0.179802733	0.118541856	0.167527024	0.130730307	0.220984144	0.098137588	0.113363446	0.117991214	0.116171402	0.138955424	0.145160858	0.171835554	0.235824928	0.107408781	0.140732441	0.202321376	0.1202768	0.117762027	0.144476913	0.182571931	0.25247102	0.132571859	0.200437306	0.135790508	0.136361664	0.257438312	0.245177256	0.213969067	0.153220361	0.183285171	0.168635422	0.250738484	0.122262512	0.255994171	0.146690222	0.139211878	0.148790865	0.244825995	0.121509205	0.156849846	0.172371037	0.235769702	0.268415738	0.18933223	0.094459319	0.084820122	0.181292671	0.109159632	0.088410787	0.066814229	0.128123514	0.148245749	0.117298698	0.147883101	0.068631456	0.127940652	0.093130999	0.215862472	0.236968552	0.097330431	0.09539892	0.128389474	0.17827654
108CHE6KO	0.088187179	0.160370674	0.088098476	0.125074055	0.142638763	0.0	0.102664294	0.127365691	0.135125055	0.172212015	0.162835467	0.114347054	0.236950976	0.111169138	0.122284783	0.117463935	0.12769729	0.248878182	0.101545356	0.181614771	0.195748254	0.111870613	0.102119114	0.165743983	0.196576383	0.117705445	0.18670031	0.12740445	0.156738512	0.175382924	0.199687815	0.151236731	0.154418029	0.200952891	0.211300429	0.147942022	0.171193472	0.182002793	0.118951143	0.226166496	0.206096723	0.179401109	0.157046529	0.181717393	0.181466321	0.187597963	0.133669503	0.092058451	0.147854803	0.141895434	0.238296522	0.119767457	0.136535743	0.150995172	0.1625761	0.135170074	0.168340915	0.156508146	0.161139651	0.201421223	0.115731673	0.183951409	0.165330171	0.125193326	0.18277012	0.170248152	0.153816633	0.177704429	0.179462001	0.18708495	0.093736725	0.144338329	0.165059188	0.153075796	0.183164196	0.119982825	0.168639118	0.154733325	0.175666635	0.201984481	0.106164932	0.135628053	0.111936522	0.155775407	0.166989002	0.147484218	0.141639111	0.069635422	0.199397683	0.122671554	0.148104857	0.137625135	0.179402726	0.133723157	0.142321513	0.118782578	0.156229587	0.068032697	0.118230185
10CMK6KO	0.109870629	0.202432042	0.114947494	0.151356075	0.178582759	0.102664294	0.0	0.135754025	0.174072985	0.220100397	0.170404303	0.135647666	0.244884926	0.076766568	0.081627319	0.093428359	0.08369934	0.199015152	0.07509655	0.164532743	0.178885778	0.090970729	0.086579918	0.133668333	0.169742301	0.084706763	0.170849452	0.10467073	0.129042922	0.145041202	0.183751111	0.141662457	0.126434565	0.186018171	0.187641771	0.121557282	0.154564126	0.148237451	0.097010409	0.207762932	0.185605317	0.155060297	0.141638071	0.171966471	0.166741725	0.164675153	0.111390375	0.071219405	0.096882601	0.114106522	0.218981206	0.100480719	0.121126335	0.12929217	0.14723871	0.109018494	0.124800869	0.12559032	0.136677789	0.185428401	0.088039117	0.149094321	0.115661245	0.068172924	0.158542664	0.15065398	0.145787429	0.132409655	0.153807559	0.144223144	0.091524223	0.120373551	0.145599	0.108544742	0.171546968	0.087988867	0.145776086	0.117344183	0.133348447	0.181766193	0.1480599	0.173578861	0.130026656	0.185089797	0.191920816	0.179726356	0.163422021	0.10507547	0.223229301	0.108066392	0.184161207	0.155694873	0.201576128	0.137607539	0.174154763	0.161508192	0.188267711	0.119774521	0.069930063
110CHE6WT	0.092675914	0.223631047	0.091134299	0.121020132	0.193181514	0.127365691	0.135754025	0.0	0.186453246	0.218848516	0.117782912	0.057959171	0.143754199	0.159655763	0.138314906	0.177287394	0.115462799	0.187843393	0.143463649	0.231724266	0.242929217	0.16599717	0.152259573	0.21858269	0.245625452	0.169004998	0.245334093	0.190033809	0.165335721	0.230206025	0.255955358	0.20062321	0.094734254	0.26424906	0.257259276	0.138520027	0.235987993	0.232938112	0.17895142	0.274846511	0.265517526	0.22698725	0.222129468	0.241019734	0.247500428	0.249747368	0.177189674	0.146009678	0.113953356	0.185199191	0.281322111	0.16893815	0.196961934	0.210711727	0.224946121	0.194024897	0.16471427	0.214747097	0.211296312	0.262475102	0.164502078	0.13830211	0.119007652	0.124259047	0.244715863	0.231100691	0.22119571	0.137634846	0.241118396	0.135927261	0.159986302	0.208088446	0.226132401	0.134314943	0.244297411	0.179994502	0.232492599	0.178442218	0.144055706	0.261479574	0.157302351	0.187716176	0.137430401	0.202009182	0.200340003	0.190817029	0.174543756	0.110469971	0.223867298	0.179960555	0.198151226	0.165657726	0.215582305	0.109735934	0.115600126	0.169612631	0.19728527	0.127596224	0.140501438
111CHE6KO	0.156448864	0.126156139	0.168884069	0.202601814	0.094405822	0.135125055	0.174072985	0.186453246	0.0	0.094123166	0.225338738	0.191640139	0.296545381	0.168717653	0.208260586	0.175976174	0.212798223	0.323190223	0.173752983	0.125319918	0.136193783	0.15186324	0.180281701	0.114596292	0.119958684	0.14619228	0.133234509	0.141638249	0.245509993	0.117844977	0.142371688	0.162765612	0.234850266	0.129011998	0.154930128	0.220974185	0.145764535	0.115549268	0.152449014	0.169969275	0.169244924	0.126173588	0.1110417	0.125880176	0.132152108	0.119691416	0.157175602	0.165937876	0.230552704	0.140899175	0.177902481	0.201411488	0.11752498	0.118508595	0.115822861	0.151364041	0.233843864	0.103063865	0.188937024	0.142787728	0.14560746	0.267120378	0.24605226	0.203185241	0.119574061	0.159478079	0.152577062	0.254164838	0.116141044	0.269026491	0.153024748	0.110419624	0.108945289	0.233901563	0.127631691	0.134462364	0.142165527	0.201279406	0.253286794	0.13601545	0.100578357	0.07979436	0.155644759	0.10040842	0.088714313	0.065375809	0.076839154	0.142929851	0.127390884	0.158657005	0.071648024	0.11778038	0.101774299	0.16976556	0.232440756	0.081453317	0.08865682	0.124261442	0.18720642
112CHE6KO	0.193888352	0.134739145	0.202976561	0.253282454	0.097549508	0.172212015	0.220100397	0.218848516	0.094123166	0.0	0.290872238	0.230175317	0.341194181	0.225026871	0.2545129	0.222383168	0.248345255	0.358225613	0.203109807	0.146114868	0.094026697	0.178845928	0.200659105	0.161823884	0.13833355	0.193253472	0.130082091	0.188326537	0.285205321	0.116901087	0.126808008	0.179886202	0.268201022	0.161135546	0.10444557	0.258835237	0.189444879	0.136001096	0.199432212	0.112345291	0.22451146	0.11973181	0.12543018	0.102364556	0.111410874	0.127748732	0.190373386	0.198043856	0.267159504	0.168179621	0.116129387	0.24263298	0.144272026	0.142651107	0.151441661	0.201636231	0.291071472	0.145190965	0.2181607	0.108030528	0.172921594	0.295569048	0.282506228	0.250432849	0.151931069	0.199249731	0.178603716	0.296593112	0.129560042	0.306180429	0.180490278	0.15841603	0.147075765	0.275112351	0.111262717	0.187986318	0.191260351	0.267515794	0.29831774	0.18916289	0.132230923	0.107323666	0.200354965	0.132610466	0.113654869	0.079760633	0.142365354	0.178963333	0.133776288	0.186425503	0.085574684	0.17294377	0.106194077	0.236085118	0.273836238	0.117396603	0.115968118	0.158023256	0.228446636
